id,title,handle,body_html,published_at,created_at,updated_at,vendor,product_type,tags,variants_0,images_0,options_0
8904985182549,Amydrium Silver | Baby Plants,amydrium-silver-baby-plants,,2023-12-16T12:10:10+01:00,2023-12-15T12:50:22+01:00,2023-12-18T14:56:26+01:00,Tchungle,,"['Baby plants', 'plantes', 'Plantes rares', 'Plantes vertes']","{'id': 47657544712533, 'title': 'Default Title', 'option1': 'Default Title', 'option2': None, 'option3': None, 'sku': None, 'requires_shipping': True, 'taxable': True, 'featured_image': None, 'available': True, 'price': '11.00', 'grams': 560, 'compare_at_price': None, 'position': 1, 'product_id': 8904985182549, 'created_at': '2023-12-15T12:50:22+01:00', 'updated_at': '2023-12-18T14:56:26+01:00'}","{'id': 52083365380437, 'created_at': '2023-12-16T12:10:17+01:00', 'position': 1, 'updated_at': '2023-12-16T12:10:21+01:00', 'product_id': 8904985182549, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0288/6130/0815/files/PXL-20231216_110853574_2.jpg?v=1702725021', 'width': 2268, 'height': 4032}","{'name': 'Title', 'position': 1, 'values': ['Default Title']}"
8904983445845,Hoya 'Flamingo Dreams' | Baby plants,hoya-flamingo-dreams-baby-plants,,2023-12-16T11:16:41+01:00,2023-12-15T12:47:09+01:00,2023-12-18T14:56:26+01:00,Tchungle,Plantes grasses,"['Baby plants', 'Hoya', 'plantes', 'plantes grasses', 'Plantes vertes']","{'id': 47657535308117, 'title': 'Default Title', 'option1': 'Default Title', 'option2': None, 'option3': None, 'sku': None, 'requires_shipping': True, 'taxable': True, 'featured_image': None, 'available': True, 'price': '9.00', 'grams': 300, 'compare_at_price': None, 'position': 1, 'product_id': 8904983445845, 'created_at': '2023-12-15T12:47:09+01:00', 'updated_at': '2023-12-18T14:56:26+01:00'}","{'id': 52082951029077, 'created_at': '2023-12-16T11:16:39+01:00', 'position': 1, 'updated_at': '2023-12-16T11:16:43+01:00', 'product_id': 8904983445845, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0288/6130/0815/files/PXL-20231216_101532805.MP_2.jpg?v=1702721803', 'width': 2268, 'height': 4032}","{'name': 'Title', 'position': 1, 'values': ['Default Title']}"
